ticker,psi,rho,q_raw,f,coherence,momentum,last_price,volume_spike,volatility
AAPL,0.404,0.416,,0.5,,-0.0042,211.14,0.87,19.79
MSFT,0.205,0.388,,0.5,,0.0038,503.51,0.94,13.32
GOOGL,0.149,0.673,,0.5,,-0.0098,176.62,1.02,26.2
NVDA,0.566,0.375,,0.5,,0.0048,162.88,1.01,27.96
META,0.16,0.414,,0.5,,0.0017,732.78,0.97,24.45
JPM,0.32,0.769,,0.5,,-0.0114,283.16,1.18,20.03
BAC,0.359,0.78,,0.5,,-0.0117,46.84,1.06,19.69
GS,0.642,0.558,,0.5,,-0.0158,696.56,0.73,22.81
WFC,0.559,0.49,,0.5,,-0.0077,81.79,0.9,22.29
C,0.59,0.52,,0.5,,-0.0134,85.79,0.72,22.98
XOM,0.133,0.451,,0.5,,0.0066,113.8,0.54,25.32
CVX,0.231,0.319,,0.5,,0.0073,153.02,0.94,22.14
COP,0.134,0.597,,0.5,,-0.0002,94.53,0.57,31.84
SLB,0.197,0.498,,0.5,,-0.004,36.25,0.71,36.03
OXY,0.062,0.5,,0.5,,0.0107,45.57,0.59,37.72
JNJ,0.111,0.507,,0.5,,-0.0044,156.28,0.77,14.11
PFE,0.338,0.37,,0.5,,-0.0019,25.56,0.96,17.77
UNH,0.063,0.545,,0.5,,-0.0276,302.91,1.04,35.56
CVS,0.037,0.72,,0.5,,-0.0143,66.66,0.91,24.86
ABBV,0.088,0.525,,0.5,,-0.0042,190.62,0.82,20.35
SPY,0.213,0.406,,0.5,,-0.0015,624.06,0.89,10.45
QQQ,0.232,0.404,,0.5,,0.0007,556.25,0.96,12.85
DIA,0.255,0.451,,0.5,,-0.0066,444.52,0.97,12.46
IWM,0.315,0.355,,0.5,,0.0019,223.65,0.93,16.66
VTI,0.211,0.404,,0.5,,-0.0005,307.5,0.91,10.51
